playerId,periodType,period,date,teamId,opponentId,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,decision,savePercentage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,evenStrengthSavePercentage,win
8480821,singleSeason,20192020,,,,424.85,7,8,2,60,28,11,4,7,70.83,353.68,2,100.0,1,0,0,0,0.33,10,-13,15,514,,,,,,,,,,,,,,,,,,,,
8481477,singleSeason,20192020,,,,71.37,2,0,0,2,6,6,0,0,0.02,68.37,0,53.06,0,0,0,0,2.98,5,2,2,104,,,,,,,,,,,,,,,,,,,,
8481812,singleSeason,20192020,,,,32.45,0,0,2,0,3,4,0,0,0.0,32.45,2,0.0,0,0,0,0,0.0,4,-1,0,40,,,,,,,,,,,,,,,,,,,,
8475790,singleSeason,20192020,,,,987.7,5,4,95,78,51,89,0,0,6.45,876.73,95,0.0,0,0,0,1,104.52,58,0,9,1302,,,,,,,,,,,,,,,,,,,,
8476346,singleSeason,20192020,,,,1315.3,40,18,12,209,70,1,6,18,202.83,1111.57,12,25.0,2,0,0,0,0.9,11,-10,58,1550,,,,,,,,,,,,,,,,,,,,
8476374,singleSeason,20192020,,,,917.03,17,6,34,95,69,145,0,1,1.82,803.1,34,48.75,0,0,0,1,112.12,31,-2,23,1255,,,,,,,,,,,,,,,,,,,,
8476432,singleSeason,20192020,,,,1268.15,13,11,36,179,70,109,2,4,124.42,1017.9,36,55.14,1,0,0,1,125.83,80,-14,24,1610,,,,,,,,,,,,,,,,,,,,
8476867,singleSeason,20192020,,,,9.17,1,0,2,0,1,2,0,0,0.0,9.17,2,0.0,0,0,0,0,0.0,0,1,1,11,,,,,,,,,,,,,,,,,,,,
8476923,singleSeason,20192020,,,,1584.43,23,8,52,114,69,81,3,10,137.37,1277.83,52,0.0,2,0,0,0,169.23,97,-20,31,1924,,,,,,,,,,,,,,,,,,,,
8478007,singleSeason,20192020,,,,1815.13,,,,,33,,,,,,,,,,,,,,,,,8,5,0,13,9,848,75,14,759,14,820,85,,0.923,31,919,71,88.23529411764706,92.5609756097561,
8478458,singleSeason,20192020,,,,1057.83,17,12,12,117,71,58,1,2,93.07,964.73,12,47.29,0,0,0,0,0.03,21,4,29,1389,,,,,,,,,,,,,,,,,,,,
8478460,singleSeason,20192020,,,,1511.08,21,20,10,187,63,36,5,13,171.9,1214.4,10,0.0,4,2,1,1,124.78,58,9,41,1763,,,,,,,,,,,,,,,,,,,,
8478500,singleSeason,20192020,,,,1714.15,23,13,24,150,69,84,7,16,210.08,1314.57,24,0.0,3,1,0,1,189.5,111,11,36,2025,,,,,,,,,,,,,,,,,,,,
8479339,singleSeason,20192020,,,,1319.88,35,28,22,226,68,97,8,16,219.4,1100.32,22,37.03,1,0,0,0,0.17,35,8,63,1482,,,,,,,,,,,,,,,,,,,,
8479369,singleSeason,20192020,,,,304.83,2,1,4,23,22,25,0,0,0.0,299.48,4,0.0,0,0,0,0,5.35,21,1,3,391,,,,,,,,,,,,,,,,,,,,
8479671,singleSeason,20192020,,,,60.37,1,0,4,6,8,17,0,0,0.0,60.37,4,0.0,0,0,0,0,0.0,1,1,1,94,,,,,,,,,,,,,,,,,,,,
8480074,singleSeason,20192020,,,,458.93,7,6,10,49,36,20,0,1,20.05,437.57,10,36.5,1,1,0,0,1.32,7,3,13,599,,,,,,,,,,,,,,,,,,,,
8480205,singleSeason,20192020,,,,687.05,10,10,8,97,56,52,5,8,75.55,611.42,8,30.76,4,1,0,0,0.08,17,-10,20,907,,,,,,,,,,,,,,,,,,,,
8480762,singleSeason,20192020,,,,547.53,5,7,12,69,50,79,0,0,1.65,545.88,12,36.36,3,0,0,0,0.0,15,10,12,774,,,,,,,,,,,,,,,,,,,,
8480853,singleSeason,20192020,,,,28.43,1,0,0,3,2,3,0,0,0.0,28.43,0,0.0,0,0,0,0,0.0,0,1,1,33,,,,,,,,,,,,,,,,,,,,
8480871,singleSeason,20192020,,,,665.12,9,4,6,50,41,33,0,2,88.98,575.45,6,0.0,1,0,0,0,0.68,43,-3,13,805,,,,,,,,,,,,,,,,,,,,
8470594,singleSeason,20192020,,,,2880.1,,,,,49,,,,,,,,,,,,,,,,,5,5,0,27,16,1266,186,23,1057,24,1155,220,,0.905,48,1399,133,84.54545454545455,91.51515151515152,
8471274,singleSeason,20192020,,,,1613.98,28,4,24,101,70,91,2,11,134.83,1313.85,24,0.0,0,0,0,0,165.3,134,8,32,1927,,,,,,,,,,,,,,,,,,,,
8474034,singleSeason,20192020,,,,794.48,14,9,71,80,64,104,1,3,97.33,695.77,71,66.66,1,0,0,0,1.38,13,4,23,1038,,,,,,,,,,,,,,,,,,,,
8474716,singleSeason,20192020,,,,1399.53,20,12,18,112,62,61,3,13,153.45,1094.28,18,0.0,2,0,0,0,151.8,102,-1,32,1560,,,,,,,,,,,,,,,,,,,,
8475149,singleSeason,20192020,,,,1028.83,21,9,20,87,60,39,1,6,147.87,861.55,20,40.0,1,1,0,0,19.42,22,-12,30,1259,,,,,,,,,,,,,,,,,,,,
8475220,singleSeason,20192020,,,,860.6,14,11,30,86,59,184,0,0,1.92,751.45,30,37.5,0,0,0,0,107.23,36,8,25,1116,,,,,,,,,,,,,,,,,,,,
8475692,singleSeason,20192020,,,,1036.07,22,15,18,96,65,13,3,7,159.37,874.82,18,64.28,2,0,0,0,1.88,36,-9,37,1191,,,,,,,,,,,,,,,,,,,,
8475750,singleSeason,20192020,,,,889.55,5,2,32,37,49,51,0,0,10.2,811.38,32,0.0,0,0,0,1,67.97,71,9,7,1105,,,,,,,,,,,,,,,,,,,,
8476396,singleSeason,20192020,,,,41.23,0,0,0,2,7,4,0,0,0.0,40.02,0,66.66,0,0,0,0,1.22,4,-1,0,63,,,,,,,,,,,,,,,,,,,,
8476463,singleSeason,20192020,,,,1487.05,26,2,24,103,69,41,0,1,26.7,1319.05,24,0.0,0,0,0,2,141.3,112,15,28,1698,,,,,,,,,,,,,,,,,,,,
