RK,NAME,KEEP?,POS,POS_RK,TEAM,AGE,SALARY,FP
154,Aaron Ekblad,N,D,50,FLA,28,CAD 7.5,294.5
155,Travis Sanheim,N,D,40,PHI,28,CAD 6.3,312.0
156,Thomas Chabot,N,D,44,OTT,27,CAD 8.0,300.1
157,Jakob Chychrun,N,D,43,WSH,26,CAD 4.6,301.9
158,Darnell Nurse,N,D,35,EDM,29,CAD 9.3,322.9
159,Joseph Woll,N,G,16,TOR,26,CAD 0.8,213.8
160,Jamie Benn,N,LW,38,DAL,35,CAD 9.5,331.9
161,Mason McTavish,N,C,58,ANA,21,CAD 0.9,295.2
162,Mark Stone,N,RW,45,VGK,32,CAD 9.5,294.5
163,Mats Zuccarello,N,RW,47,MIN,37,CAD 4.1,290.0
164,Darcy Kuemper,N,G,18,LAK,34,CAD 5.3,213.4
165,Luke Hughes,N,D,68,NJD,20,CAD 0.9,268.2
166,Filip Gustavsson,N,G,20,MIN,26,CAD 3.8,209.0
167,Frank Vatrano,N,C/LW,40,ANA,30,CAD 3.7,329.3
168,Matt Duchene,N,C/RW,46,DAL,33,CAD 3.0,290.7
169,Patrik Laine,N,LW,49,MTL,26,CAD 8.7,298.1
170,Trevor Moore,N,LW/RW,43,LAK,29,CAD 4.2,302.1
171,Filip Hronek,N,D,64,VAN,26,CAD 7.3,272.8
172,Sean Durzi,N,D,49,UTA,25,CAD 6.0,294.8
173,Boone Jenner,N,C/LW,33,CBJ,31,CAD 3.8,348.6
174,Michael Bunting,N,LW,55,PIT,28,CAD 4.5,275.7
175,Jacob Trouba,N,D,33,NYR,30,CAD 8.0,327.7
176,Sam Montembeault,N,G,21,MTL,27,CAD 3.2,201.8
177,Macklin Celebrini,N,C,60,SJS,18,CAD 1.0,292.9
178,Quinton Byfield,N,C,67,LAK,22,CAD 6.3,284.4
179,Hampus Lindholm,N,D,71,BOS,30,CAD 6.5,263.7
180,Tyler Bertuzzi,N,LW,50,CHI,29,CAD 5.5,293.4
181,Andrei Kuzmenko,N,LW/RW,51,CGY,28,CAD 5.5,275.9
182,Jaccob Slavin,N,D,57,CAR,30,CAD 5.3,280.5
183,Jake Neighbours,N,LW/RW,39,STL,22,CAD 0.8,311.0
184,Mattias Ekholm,N,D,60,EDM,34,CAD 6.0,277.0
185,Owen Power,N,D,67,BUF,21,CAD 8.4,269.4
186,Matty Beniers,N,C,59,SEA,21,CAD 7.1,294.1
187,Neal Pionk,N,D,52,WPG,29,CAD 5.9,290.7
188,Tyler Seguin,N,C/RW,49,DAL,32,CAD 9.9,278.9
189,Shayne Gostisbehere,N,D,72,CAR,31,CAD 3.2,261.4
190,Trevor Zegras,N,C,78,ANA,23,CAD 5.8,267.0
191,Charlie Lindgren,,G,22,WSH,30,CAD 1.1,191.8
192,William Karlsson,N,C,54,VGK,31,CAD 5.9,313.7
193,Adam Fantilli,N,C,63,CBJ,19,CAD 1.0,288.1
194,Kaiden Guhle,N,D,51,MTL,22,CAD 0.9,293.4
195,Ivan Provorov,N,D,48,CBJ,27,CAD 4.7,295.0
196,Conor Garland,N,RW,59,VAN,28,CAD 5.0,262.2
197,Matt Roy,N,D,41,WSH,29,CAD 5.8,311.7
198,Joey Daccord,N,G,23,SEA,27,CAD 1.2,191.6
199,Brayden Schenn,N,C/LW,51,STL,33,CAD 6.5,287.6
200,K'Andre Miller,N,D,59,NYR,24,CAD 3.9,278.5
201,Jeff Skinner,N,LW,58,EDM,32,CAD 3.0,259.1
202,Kyle Palmieri,N,RW,52,NYI,33,CAD 5.0,274.7
203,Gabriel Vilardi,N,C/RW,53,WPG,25,CAD 3.4,274.0
204,Matvei Michkov,N,RW,54,PHI,19,CAD 1.0,270.1
205,Tom Wilson,N,RW,48,WSH,30,CAD 6.5,288.1
206,Artturi Lehkonen,N,LW,52,COL,29,CAD 4.5,283.5
207,William Eklund,N,C,65,SJS,21,CAD 0.9,287.6
208,Pavel Mintyukov,N,D,74,ANA,20,CAD 0.9,258.1
209,Pavel Zacha,N,C,62,BOS,27,CAD 4.8,290.0
210,Blake Coleman,N,C/RW,55,CGY,32,CAD 4.9,268.6
211,Oliver Bjorkstrand,N,RW,56,SEA,29,CAD 5.4,268.4
212,Jordan Eberle,N,RW,63,SEA,34,CAD 4.8,249.2
213,Cam York,N,D,58,PHI,23,CAD 1.6,280.2
214,Esa Lindell,N,D,47,DAL,30,CAD 5.8,296.8
215,Jonas Brodin,N,D,61,MIN,31,CAD 6.0,275.5
216,Vladimir Tarasenko,N,LW/RW,58,DET,32,CAD 4.8,264.9
217,Jared Spurgeon,N,D,62,MIN,34,CAD 7.6,275.4
218,Cam Fowler,N,D,77,ANA,32,CAD 6.5,255.8
219,Ukko-Pekka Luukkonen,N,G,25,BUF,25,CAD 4.8,187.3
220,Leo Carlsson,N,C,86,ANA,19,CAD 1.0,249.3
221,Frederik Andersen,N,G,24,CAR,34,CAD 3.4,187.5
222,Lane Hutson,N,D,86,MTL,19,CAD 1.0,246.2
223,Matias Maccelli,N,LW,64,UTA,23,CAD 3.4,247.3
224,Yaroslav Askarov,N,G,30,SJS,22,CAD 0.9,174.1
225,Marcus Pettersson,N,D,70,PIT,28,CAD 4.0,265.0
226,Ryan Pulock,N,D,46,NYI,29,CAD 6.2,297.1
227,Elvis Merzlikins,N,G,28,CBJ,30,CAD 5.4,181.0
228,Sam Bennett,N,C,72,FLA,28,CAD 4.4,275.8
229,Ryan Hartman,N,C/RW,67,MIN,29,CAD 4.0,242.5
230,Damon Severson,N,D,96,CBJ,30,CAD 6.3,234.9
231,Brandt Clarke,N,D,78,LAK,21,CAD 0.9,253.8
232,Dawson Mercer,N,C,74,NJD,22,RFA,272.8
233,Cam Talbot,N,G,29,DET,37,CAD 2.5,177.8
234,Jack Quinn,N,RW,66,BUF,22,CAD 0.9,245.4
235,Anton Lundell,N,C/RW,68,FLA,22,CAD 5.0,242.0
236,Kirill Marchenko,N,RW,60,CBJ,24,CAD 3.9,259.7
237,Pyotr Kochetkov,N,G,26,CAR,25,CAD 2.0,185.1
238,Rickard Rakell,N,C/RW,57,PIT,31,CAD 5.0,266.5
239,Phillip Danault,N,C,66,LAK,31,CAD 5.5,287.1
240,Mikael Granlund,N,C/RW,70,SJS,32,CAD 5.0,240.5
241,Logan Couture,N,C,68,SJS,35,CAD 8.0,281.7
242,Shane Pinto,N,C,69,OTT,23,CAD 3.8,281.3
243,Olen Zellweger,N,D,84,ANA,20,CAD 0.8,248.0
244,Matthew Knies,N,LW,56,TOR,21,CAD 0.9,265.6
245,Tyson Foerster,N,C/RW,61,PHI,22,CAD 0.9,259.0
246,Adam Larsson,N,D,65,SEA,31,CAD 4.0,272.6
247,Dmitry Orlov,N,D,90,CAR,33,CAD 7.8,238.3
248,Mario Ferraro,N,D,53,SJS,25,CAD 3.3,284.1
249,Chris Tanev,N,D,56,TOR,34,CAD 4.5,280.8
250,Samuel Ersson,N,G,27,PHI,24,CAD 1.5,184.2
251,Jonathan Drouin,N,LW,68,COL,29,CAD 2.5,242.2
252,Viktor Arvidsson,N,LW,61,EDM,31,CAD 4.0,252.5
253,Joel Farabee,N,LW/RW,71,PHI,24,CAD 5.0,237.6
254,Erik Gustafsson (D),N,D,108,DET,32,CAD 2.0,224.8
255,Charlie Coyle,N,C,71,BOS,32,CAD 5.3,278.5
256,Brett Pesce,N,D,88,NJD,29,CAD 5.5,239.3
257,Anthony Duclair,N,LW,59,NYI,29,CAD 3.5,257.8
258,Eeli Tolvanen,N,LW/RW,50,SEA,25,CAD 3.5,278.2
259,Anthony Cirelli,N,C,75,TBL,27,CAD 6.3,270.4
260,Sean Walker,N,D,82,CAR,29,CAD 3.6,249.5
261,Morgan Geekie,N,C/RW,64,BOS,26,CAD 2.0,247.7
262,Alex Romanov,N,D,63,NYI,24,CAD 2.5,274.0
263,Dylan DeMelo,N,D,80,WPG,31,CAD 4.9,252.7
264,Gustav Nyquist,N,LW,67,NSH,35,CAD 3.2,244.1
265,Ryan McDonagh,N,D,79,TBL,35,CAD 6.8,252.8
266,Jake McCabe,N,D,69,TOR,30,CAD 2.0,265.5
267,Mikael Backlund,N,C/LW,66,CGY,35,CAD 4.5,244.3
268,Sean Monahan,N,C,76,CBJ,29,CAD 5.5,269.4
269,Casey Mittelstadt,N,C,102,COL,25,CAD 5.8,224.9
270,Nick Seeler,N,D,55,PHI,31,CAD 2.7,281.9
271,Mason Marchment,N,LW,76,DAL,29,CAD 4.5,235.1
272,Taylor Hall,N,LW,70,CHI,32,CAD 6.0,240.6
273,Torey Krug,N,D,104,STL,33,CAD 6.5,226.8
274,J.T. Compher,N,C/LW/RW,72,DET,29,CAD 5.1,235.5
275,Brayden McNabb,N,D,54,VGK,33,CAD 2.9,283.0
276,Andrew Mangiapane,N,LW,69,WSH,28,CAD 5.8,241.9
277,Braden Schneider,N,D,66,NYR,22,CAD 2.2,270.2
278,Dustin Wolf,N,G,32,CGY,23,CAD 0.9,168.9
279,Morgan Frost,N,C,82,PHI,25,CAD 2.1,256.4
280,Cole Perfetti,N,C/LW,74,WPG,22,RFA,237.2
281,Fabian Zetterlund,N,LW/RW,65,SJS,25,CAD 1.5,247.2
282,Alex Killorn,N,C/LW,77,ANA,34,CAD 6.2,230.0
283,Timothy Liljegren,N,D,85,TOR,25,CAD 3.0,247.0
284,Bowen Byram,N,D,114,BUF,23,CAD 3.9,219.5
285,Lawson Crouse,N,LW/RW,62,UTA,27,CAD 4.3,254.7
286,Alex Carrier,N,D,91,NSH,27,CAD 3.8,237.8
287,Vladislav Gavrikov,N,D,98,LAK,28,CAD 5.9,231.5
288,John Gibson,N,G,33,ANA,31,CAD 6.4,165.6
289,Reilly Smith,N,RW,73,NYR,33,CAD 3.8,229.4
290,Nikita Zadorov,N,D,121,BOS,29,CAD 5.0,214.3
291,David Perron,N,LW/RW,74,OTT,36,CAD 4.0,228.1
292,Anthony Stolarz,N,G,31,TOR,30,CAD 2.5,169.8
293,Ivan Barbashev,N,C/LW,62,VGK,28,CAD 5.0,249.8
294,Ryan Graves,N,D,83,PIT,29,CAD 4.5,249.0
295,Jamie Drysdale,N,D,110,PHI,22,CAD 2.3,222.1
296,Adam Boqvist,N,D,111,FLA,24,CAD 0.8,221.3
297,Adam Pelech,N,D,92,NYI,30,CAD 5.8,236.9
298,Philip Broberg,N,D,102,STL,23,CAD 4.6,227.2
299,Ben Chiarot,N,D,75,DET,33,CAD 4.8,257.9
300,Samuel Girard,N,D,94,COL,26,CAD 5.0,236.3
301,Radko Gudas,N,D,76,ANA,34,CAD 4.0,256.6
302,Jamie Oleksiak,N,D,81,SEA,31,CAD 4.6,249.7
303,Nino Niederreiter,N,LW/RW,69,WPG,31,CAD 4.0,240.5
304,David Savard,N,D,73,MTL,33,CAD 3.5,259.5
305,Chandler Stephenson,N,C,83,SEA,30,CAD 6.3,252.5
306,Valeri Nichushkin,N,RW,75,COL,29,CAD 6.1,226.3
307,Philipp Kurashev,N,C/RW,76,CHI,24,CAD 2.3,219.8
308,Daniel Sprong,N,RW,77,VAN,27,CAD 1.0,216.9
309,Logan Stankoven,N,C,89,DAL,21,CAD 0.8,245.0
310,Alex Holtz,N,RW,78,VGK,22,CAD 0.9,214.8
311,Cody Ceci,N,D,93,SJS,30,CAD 3.3,236.7
312,Petr Mrazek,N,G,34,CHI,32,CAD 4.3,156.6
313,Tyler Myers,N,D,103,VAN,34,CAD 3.0,227.1
