firstName,lastName,primaryPosition,position,team,injured,fpts,rnk,pos_rnk
Nils,Hoglander,L,LW,,,80.1,563,80
Robert,Bortuzzo,D,D,,,81.0,564,157
Brett,Howden,C,C,,,74.8,565,163
Brendan,Smith,D,D,,,80.0,566,162
Josh,Manson,D,D,,,70.4,567,179
Boris,Katchouk,L,LW,,,75.6,568,86
Marco,Scandella,D,D,,,74.2,569,171
Emil,Bemstrom,R,RW,,,71.4,570,70
Morgan,Barron,C,C,,,71.0,571,166
Ty,Dellandrea,C,C,,,70.4,572,168
Kyle,Burroughs,D,D,,,60.2,573,188
Juraj,Slafkovsky,L,LW,,,56.4,574,93
Mike,Reilly,D,D,,,69.7,575,175
Ben,Hutton,D,D,,,71.3,576,170
Paul,Cotter,C,C,,,68.2,577,171
Rasmus,Asplund,C,C,,,74.0,578,157
Tyler,Pitlick,C,C,,,71.7,579,159
Aliaksei,Protas,C,C,,,68.5,580,165
Patrick,Brown,C,C,,,61.2,581,173
Rasmus,Kupari,C,C,,,70.9,582,162
Zach,Bogosian,D,D,,,64.7,583,174
Pierre-Olivier,Joseph,D,D,,,55.6,584,187
Thomas,Harley,D,D,,,23.3,585,207
Logan,Stanley,D,D,,,61.1,586,177
Dakota,Joshua,C,C,,,65.6,587,169
William,Eklund,L,C,,,14.8,588,109
Jalen,Chatfield,D,D,,,60.7,589,176
Haydn,Fleury,D,D,,,53.2,590,184
Michael,Eyssimont,C,C,,,41.5,591,185
Max,Jones,L,LW,,,50.8,592,91
Zack,MacEwen,R,C,,,58.2,593,75
Dylan,Holloway,L,LW,,,58.3,594,88
Jake,Neighbours,L,LW,,,41.3,595,96
Mathieu,Olivier,R,RW,,,50.9,596,78
Parker,Kelly,L,LW,,,47.5,597,92
Klim,Kostin,C,C,,,47.6,598,177
Adam,Ruzicka,C,C,,,44.7,599,180
Brett,Leason,R,RW,,,49.5,600,79
Jarred,Tinordi,D,D,,,43.4,600,193
Mark,Kastelic,C,C,,,49.0,602,175
Hudson,Fasching,R,RW,,,34.9,603,83
Jaret,Anderson-Dolan,C,C,,,47.3,604,178
Vinnie,Hinostroza,C,C,,,50.4,605,170
Pontus,Holmberg,R,RW,,,47.3,606,80
Phillip,Di Giuseppe,L,LW,,,31.5,607,103
Jacob,MacDonald,D,D,,,46.5,608,185
Andreas,Englund,D,D,,,49.2,609,181
Vincent,Desharnais,D,D,,,41.8,610,191
Tobias,Bjornfot,D,D,,,45.1,611,186
Kiefer,Sherwood,L,RW,,,31.6,612,102
Ryan,Carpenter,C,C,,,46.9,613,176
Kevin,Bahl,D,D,,,33.5,614,196
Michael,McCarron,R,RW,,,34.6,615,82
Cole,Smith,L,LW,,,35.3,616,94
Sam,Carrick,C,C,,,39.6,617,181
Alex,Vlasic,D,D,,,13.2,618,205
Joel,Hanley,D,D,,,37.3,619,192
Walker,Duehr,R,RW,,,25.5,620,84
Nikita,Alexandrov,C,C,,,35.1,621,183
Jack,Drury,C,C,,,33.0,622,184
A.J.,Greer,L,LW,,,20.4,623,100
Conor,Timmins,D,D,,,30.5,624,197
Urho,Vaakanainen,D,D,,,30.3,625,199
Michael,Carcone,L,LW,,,15.0,626,104
Fredrik,Olofsson,L,LW,,,26.3,627,98
Zac,Jones,D,D,,,17.7,628,200
Jacob,Bernard-Docker,D,D,,,15.5,629,201
David,Gustafsson,C,C,,,19.6,630,187
Egor,Zamula,D,D,,,13.0,631,202
Givani,Smith,R,RW,,,11.9,632,86
Ross,Johnston,L,LW,,,5.6,633,105
